,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
173598,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-27
173599,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-27
173607,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-27
173696,Australia,From Diamond Princess,35.4437,139.638,8.0,0.0,0.0,2020-02-28
173702,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-28
173705,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-28
173706,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-28
173714,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-28
173815,Australia,Queensland,-27.4698,153.0251,9.0,1.0,0.0,2020-02-29
173818,Australia,Victoria,-37.8136,144.9631,7.0,4.0,0.0,2020-02-29
173824,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-29
173829,Australia,South Australia,-34.9285,138.6007,3.0,2.0,0.0,2020-02-29
173836,Australia,Western Australia,-31.9505,115.8605,2.0,0.0,0.0,2020-02-29
173875,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-02-29
173938,Australia,Queensland,-28.0167,153.4,9.0,1.0,0.0,2020-03-01
173941,Australia,Victoria,-37.8136,144.9631,7.0,4.0,0.0,2020-03-01
173944,Australia,New South Wales,-33.8688,151.2093,6.0,4.0,0.0,2020-03-01
173951,Australia,South Australia,-34.9285,138.6007,3.0,2.0,0.0,2020-03-01
173962,Australia,Western Australia,-31.9505,115.8605,2.0,0.0,1.0,2020-03-01
174000,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-01
174064,Australia,Queensland,-28.0167,153.4,9.0,1.0,0.0,2020-03-02
174065,Australia,Victoria,-37.8136,144.9631,9.0,4.0,0.0,2020-03-02
174072,Australia,New South Wales,-33.8688,151.2093,6.0,4.0,0.0,2020-03-02
174084,Australia,South Australia,-34.9285,138.6007,3.0,2.0,0.0,2020-03-02
174092,Australia,Western Australia,-31.9505,115.8605,2.0,0.0,1.0,2020-03-02
174105,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-02
174141,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-02
174202,Australia,New South Wales,-33.8688,151.2093,13.0,4.0,0.0,2020-03-03
174207,Australia,Queensland,-28.0167,153.4,11.0,1.0,0.0,2020-03-03
174212,Australia,Victoria,-37.8136,144.9631,9.0,4.0,0.0,2020-03-03
174227,Australia,South Australia,-34.9285,138.6007,3.0,2.0,0.0,2020-03-03
174233,Australia,Western Australia,-31.9505,115.8605,2.0,0.0,1.0,2020-03-03
174254,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-03
174292,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-03
174353,Australia,New South Wales,-33.8688,151.2093,22.0,4.0,1.0,2020-03-04
174363,Australia,Queensland,-28.0167,153.4,11.0,1.0,0.0,2020-03-04
174365,Australia,Victoria,-37.8136,144.9631,10.0,4.0,0.0,2020-03-04
174379,Australia,South Australia,-34.9285,138.6007,5.0,2.0,0.0,2020-03-04
174394,Australia,Western Australia,-31.9505,115.8605,2.0,0.0,1.0,2020-03-04
174413,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-04
174414,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-04
174452,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-04
174514,Australia,New South Wales,-33.8688,151.2093,22.0,4.0,1.0,2020-03-05
174525,Australia,Queensland,-28.0167,153.4,13.0,8.0,0.0,2020-03-05
174532,Australia,Victoria,-37.8136,144.9631,10.0,7.0,0.0,2020-03-05
174542,Australia,South Australia,-34.9285,138.6007,5.0,2.0,0.0,2020-03-05
174554,Australia,Western Australia,-31.9505,115.8605,3.0,0.0,1.0,2020-03-05
174584,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-05
174585,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-05
174625,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-05
174687,Australia,New South Wales,-33.8688,151.2093,26.0,4.0,1.0,2020-03-06
174707,Australia,Queensland,-28.0167,153.4,13.0,8.0,0.0,2020-03-06
174714,Australia,Victoria,-37.8136,144.9631,10.0,7.0,0.0,2020-03-06
174719,Australia,South Australia,-34.9285,138.6007,7.0,2.0,0.0,2020-03-06
174736,Australia,Western Australia,-31.9505,115.8605,3.0,0.0,1.0,2020-03-06
174769,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-06
174823,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-06
174824,Australia,Northern Territory,-12.4634,130.8456,0.0,0.0,0.0,2020-03-06
174888,Australia,New South Wales,-33.8688,151.2093,28.0,4.0,1.0,2020-03-07
174908,Australia,Queensland,-28.0167,153.4,13.0,8.0,0.0,2020-03-07
174913,Australia,Victoria,-37.8136,144.9631,11.0,7.0,0.0,2020-03-07
174922,Australia,South Australia,-34.9285,138.6007,7.0,2.0,0.0,2020-03-07
174943,Australia,Western Australia,-31.9505,115.8605,3.0,0.0,1.0,2020-03-07
174983,Australia,Tasmania,-41.4545,145.9707,1.0,0.0,0.0,2020-03-07
175047,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-07
175048,Australia,Northern Territory,-12.4634,130.8456,0.0,0.0,0.0,2020-03-07
175114,Australia,New South Wales,-33.8688,151.2093,38.0,4.0,3.0,2020-03-08
175136,Australia,Queensland,-28.0167,153.4,15.0,8.0,0.0,2020-03-08
175146,Australia,Victoria,-37.8136,144.9631,11.0,7.0,0.0,2020-03-08
175157,Australia,South Australia,-34.9285,138.6007,7.0,2.0,0.0,2020-03-08
175186,Australia,Western Australia,-31.9505,115.8605,3.0,0.0,1.0,2020-03-08
175202,Australia,Tasmania,-41.4545,145.9707,2.0,0.0,0.0,2020-03-08
175302,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-08
175303,Australia,Northern Territory,-12.4634,130.8456,0.0,0.0,0.0,2020-03-08
175365,Australia,New South Wales,-33.8688,151.2093,48.0,4.0,3.0,2020-03-09
175396,Australia,Queensland,-28.0167,153.4,15.0,8.0,0.0,2020-03-09
175397,Australia,Victoria,-37.8136,144.9631,15.0,7.0,0.0,2020-03-09
175415,Australia,South Australia,-34.9285,138.6007,7.0,2.0,0.0,2020-03-09
175435,Australia,Western Australia,-31.9505,115.8605,4.0,0.0,1.0,2020-03-09
175464,Australia,Tasmania,-41.4545,145.9707,2.0,0.0,0.0,2020-03-09
175568,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-09
175569,Australia,Northern Territory,-12.4634,130.8456,0.0,0.0,0.0,2020-03-09
175635,Australia,New South Wales,-33.8688,151.2093,55.0,4.0,2.0,2020-03-10
175659,Australia,Queensland,-28.0167,153.4,18.0,8.0,0.0,2020-03-10
175660,Australia,Victoria,-37.8136,144.9631,18.0,7.0,0.0,2020-03-10
175689,Australia,South Australia,-34.9285,138.6007,7.0,2.0,0.0,2020-03-10
175699,Australia,Western Australia,-31.9505,115.8605,6.0,0.0,1.0,2020-03-10
175729,Australia,Tasmania,-41.4545,145.9707,2.0,0.0,0.0,2020-03-10
175742,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-10
175766,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-10
175841,Australia,New South Wales,-33.8688,151.2093,65.0,4.0,2.0,2020-03-11
175868,Australia,Victoria,-37.8136,144.9631,21.0,7.0,0.0,2020-03-11
175873,Australia,Queensland,-28.0167,153.4,20.0,8.0,0.0,2020-03-11
175900,Australia,South Australia,-34.9285,138.6007,9.0,2.0,0.0,2020-03-11
175901,Australia,Western Australia,-31.9505,115.8605,9.0,0.0,1.0,2020-03-11
175937,Australia,Tasmania,-41.4545,145.9707,3.0,0.0,0.0,2020-03-11
175960,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-11
175985,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-11
176062,Australia,New South Wales,-33.8688,151.2093,65.0,4.0,2.0,2020-03-12
176092,Australia,Victoria,-37.8136,144.9631,21.0,7.0,0.0,2020-03-12
176094,Australia,Queensland,-28.0167,153.4,20.0,8.0,0.0,2020-03-12
176129,Australia,South Australia,-34.9285,138.6007,9.0,2.0,0.0,2020-03-12
176130,Australia,Western Australia,-31.9505,115.8605,9.0,0.0,1.0,2020-03-12
176158,Australia,Tasmania,-41.4545,145.9707,3.0,0.0,0.0,2020-03-12
176181,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-12
176206,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-12
176248,Australia,Tasmania,-41.4545,145.9707,5.0,0.0,0.0,2020-03-13
176253,Australia,New South Wales,-33.8688,151.2093,92.0,4.0,2.0,2020-03-13
176254,Australia,Victoria,-37.8136,144.9631,36.0,8.0,0.0,2020-03-13
176255,Australia,Queensland,-28.0167,153.4,35.0,8.0,0.0,2020-03-13
176256,Australia,South Australia,-34.9285,138.6007,16.0,3.0,0.0,2020-03-13
176266,Australia,Australian Capital Territory,-35.4735,149.0124,1.0,0.0,0.0,2020-03-13
176279,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-13
176314,Australia,Western Australia,-31.9505,115.8605,14.0,0.0,1.0,2020-03-13
176352,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-13
176505,Australia,New South Wales,-33.8688,151.2093,112.0,4.0,2.0,2020-03-14
176536,Australia,Victoria,-37.8136,144.9631,49.0,8.0,0.0,2020-03-14
176538,Australia,Queensland,-28.0167,153.4,46.0,8.0,0.0,2020-03-14
176575,Australia,South Australia,-34.9285,138.6007,19.0,3.0,0.0,2020-03-14
176583,Australia,Western Australia,-31.9505,115.8605,17.0,0.0,1.0,2020-03-14
176620,Australia,Tasmania,-41.4545,145.9707,5.0,0.0,0.0,2020-03-14
176658,Australia,Australian Capital Territory,-35.4735,149.0124,1.0,0.0,0.0,2020-03-14
176659,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-14
176690,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-14
176750,Australia,New South Wales,-33.8688,151.2093,134.0,4.0,2.0,2020-03-15
176781,Australia,Queensland,-28.0167,153.4,61.0,8.0,0.0,2020-03-15
176785,Australia,Victoria,-37.8136,144.9631,57.0,8.0,0.0,2020-03-15
176829,Australia,South Australia,-34.9285,138.6007,20.0,3.0,0.0,2020-03-15
176838,Australia,Western Australia,-31.9505,115.8605,17.0,0.0,1.0,2020-03-15
176869,Australia,Tasmania,-41.4545,145.9707,6.0,0.0,0.0,2020-03-15
176911,Australia,Australian Capital Territory,-35.4735,149.0124,1.0,0.0,0.0,2020-03-15
